Date,Open,High,Low,Close,Adj Close,Volume,Change
2017-11-06,1028.989990,1034.869995,1025.000000,1025.900024,1025.900024,1125200,-0.0030029113
2017-11-07,1027.270020,1033.969971,1025.130005,1033.329956,1033.329956,1112300,0.005899069
2017-11-08,1030.520020,1043.521973,1028.449951,1039.849976,1039.849976,1088700,0.009053639
2017-11-09,1033.989990,1033.989990,1019.666016,1031.260010,1031.260010,1245200,-0.0026402387
2017-11-10,1026.459961,1030.760010,1025.280029,1028.069946,1028.069946,720000,0.0015684833
2017-11-13,1023.419983,1031.579956,1022.570007,1025.750000,1025.750000,885800,0.002276697
2017-11-14,1022.590027,1026.810059,1014.150024,1026.000000,1026.000000,959200,0.0033346436
2017-11-15,1019.210022,1024.089966,1015.419983,1020.909973,1020.909973,854000,0.0016679106
2017-11-16,1022.520020,1035.920044,1022.520020,1032.500000,1032.500000,1129700,0.009760181
2017-11-17,1034.010010,1034.420044,1017.750000,1019.090027,1019.090027,1397100,-0.014429244
2017-11-20,1020.260010,1022.609985,1017.500000,1018.380005,1018.380005,953500,-0.0018426724
2017-11-21,1023.309998,1035.109985,1022.655029,1034.489990,1034.489990,1097000,0.010925324
2017-11-22,1035.000000,1039.706055,1031.430054,1035.959961,1035.959961,746300,9.274985E-4
2017-11-24,1035.869995,1043.177979,1035.000000,1040.609985,1040.609985,537000,0.004575854
2017-11-27,1040.000000,1055.459961,1038.439941,1054.209961,1054.209961,1307900,0.013663424
2017-11-28,1055.089966,1062.375000,1040.000000,1047.410034,1047.410034,1424400,-0.0072789355
2017-11-29,1042.680054,1044.079956,1015.650024,1021.659973,1021.659973,2459400,-0.020159665
2017-11-30,1022.369995,1028.489990,1015.000000,1021.409973,1021.409973,1724000,-9.390162E-4
2017-12-01,1015.799988,1022.489990,1002.020020,1010.169983,1010.169983,1909600,-0.0055424343
2017-12-04,1012.659973,1016.099976,995.570007,998.679993,998.679993,1902200,-0.013805207
2017-12-05,995.940002,1020.609985,988.280029,1010.292480,1010.292480,1493894,0.014410987
